江丙坤 陈美惠
高晓松 沈欢
高晓松 徐珊珊
韦小宝 阿珂
韦小宝 方怡
韦小宝 双儿
韦小宝 韦春花
韦小宝 陈近南
韦小宝 建宁公主
元睿宗 成吉思汗
元睿宗 元宪宗
汤君年 汤珈铖
汤君年 汤子嘉
马文广 姚颖
郑弘 钱琳琳
朱嘉琛 黄宗江
于凤至 张闾瑛
于凤至 于文斗
彭清一 翟杰
马增蕙 马增芬
马增蕙 马连登
曹腾 曹嵩
曹腾 吴氏
马国毕 谢依纯
吕美荪 吕惠如
徐阿三 徐小香
孔雀屏 林超群
岳不群 令狐冲
岳不群 劳德诺
郭令山 欧倩怡
李孝贞 金旼贞
张家霈 康康
吴安然 吴阶平
董洁 潘粤明
刘喜奎 崔承炽
喻传海 商芳臣
喻传海 潘笑笑
喻传海 张荣标
李婷宜 李婷芷
孔伯华 孔令谦
石小群 尤小刚
高凤岭 林信斋
汉昭帝 汉武帝
汉昭帝 上官小妹
李虹 李歇浦
洪承畴 洪启熙
陈锦鸿 杜雯惠
傅泾波 傅暖泠
傅泾波 傅履仁
维多利亚女王 维多利亚
龚澎 龚普生
朱玲玲 霍启刚
朱玲玲 罗康瑞
朱玲玲 霍震霆
朱玲玲 郭晶晶
朱玲玲 霍启人
陈发科 陈小旺
陈发科 陈照旭
陈发科 陈照奎
陈发科 陈耕耘
陈发科 陈长兴
彭儒 陈正人
孔瑶竹 孔燕松
郑裕彤 郑家纯
郑裕彤 周翠英
左清飞 祝明达
门敢红 门惠丰
门敢红 梁成赞
余秋雨 马兰
江石溪 范氏
江石溪 江上青
何庆魁 高秀敏
吕骥 孙慎
范文芳 李铭顺
王馨平 王美怡
王馨平 曾江
杨荣环 梅兰芳
杨荣环 雷英
杨荣环 王艳
杨荣环 尚小云
杨荣环 李经文
郭嘉 郭奕
马一浮 汤寿潜
刘春爱 骆玉笙
云燕铭 马彦祥
王尚荣 克
关智斌 张敬轩
奥尼尔 布朗
奥尼尔 Toney
奥尼尔 加内特
奥尼尔 詹姆斯
梁兴初 任桂兰
周慧敏 倪震
皮定均 皮国宏
皮定均 张烽
江上青 王者兰
江上青 江泽玲
江上青 江石溪
余文乐 杨丞琳
奥多姆 布朗
曹茂 曹操
谷超豪 胡和生
谷超豪 苏步青
朱珠 李泉
谢霆锋 谢婷婷
汉成帝 王莽
俞振庭 俞菊笙
格瓦拉 卡斯特罗
格瓦拉 阿尔贝托
孙正阳 梁连柱
孙正阳 关鸿宾
周建人 周晔
周建人 周作人
周建人 羽太信子
周建人 王蕴如
罗达伦 罗伯健
李亚力 李正源
杨千霈 霍启人
汪小菲 许雅钧
汪小菲 吕婉柔
汪小菲 汪则翰
汪小菲 田益宾
于谦 于冕
库淑兰 魏伊平
杨晓丹 傅艺伟
太乙救苦天尊 九灵元圣
康子林 岳春
康子林 杨素兰
康子林 唐广体
陈汉典 小S
陈汉典 蔡康永
陈照奎 陈发科
陈照奎 陈小旺
尤宪超 高晓攀
吴卓林 成龙
吴卓林 吴绮莉
顺治 恭靖妃
顺治 孝庄文皇后
顺治 孝庄太后
顺治 康熙
顺治 孝康章皇后
顺治 孝惠章皇后
韩素音 唐柏
韩素音 唐保黄
韩素音 陆文星
韩素音 周惠音
乔峰 阿朱
林建岳 林孝贤
林建岳 余宝珠
林建岳 林恬儿
郭晓冬 郭子诚
王予柔 易建联
王予柔 王东生
王予柔 陈建州
傅艺伟 杨晓丹
吴石 白崇禧
曹冲 曹操
曹冲 曹植
许冠杰 许冠英
许冠杰 许冠武
范雯 黄旭
蒋英 钱学森
汤唯 田雨
恬妞 叶聪豪
恬妞 万梓良
刘彦池 王励勤
许晋亨 许世勋
王明 王芳妮
王明 王丹芝
王爱爱 程玉英
王重阳 刘处玄
王重阳 马钰
王重阳 王处一
王重阳 谭处端
王重阳 孙不二
杨谨华 张怀秋
爱因斯坦 爱尔莎
爱因斯坦 Einstein
李清照 李格非
李清照 王氏
小泉进次郎 小泉纯一郎
小泉进次郎 小泉孝太郎
田荫亭 田连章
田荫亭 田士杰
田荫亭 田亚亭
田荫亭 田蕴章
田荫亭 田起山
夏伊乔 刘海粟
慕容复 慕容博
言少朋 言菊朋
钱振荣 高继荣
张洪沅 谢明山
周小川 周建南
十六夜 犬大将
十六夜 犬夜叉
张柏芝 狄波拉
张柏芝 张豪龙
张柏芝 谢振轩
张柏芝 谢贤
张柏芝 陈晓东
张柏芝 戴碧芝
许杏虎 朱颖
李叔同 夏丏尊
钱金福 刘砚亭
钱金福 李永利
钱金福 余叔岩
傅声 甄妮
傅声 张展鹏
李望知 薄熙来
刘芸 聂远
刘芸 郑钧
布鲁克斯 巴蒂尔
布鲁克斯 兰德里
梁天 梁晓天
梁天 梁欢
梁天 孙凤英
梁天 梁左
栗桂莲 牛桂英
陈云凤 夏明衡
陈云凤 夏时济
陈云凤 夏明翰
陈云凤 夏绍范
庄则栋 鲍惠荞
陈小津 陈丕显
冯轲 张靓颖
孙红雷 巩俐
郭泰源 张琼姿
郭泰源 郭义煌
蒲松龄 刘氏
杨铁虎 杨盛春
启功 陈垣
郎德山 金秀山
夏绍范 陈云凤
夏绍范 夏明翰
秦志戬 吴颢
秦志戬 许昕
刘备 关羽
刘备 刘封
刘备 孙尚香
刘备 刘弘
刘备 马超
刘备 刘理
刘备 刘禅
刘备 赵云
刘备 诸葛亮
刘备 张飞
黄袍怪 百花羞
张博 兽兽
张丽华 陈叔宝
胡德平 胡耀邦
涂经纬 撒贝宁
章子男 章子怡
章子男 殷旭
罗百岁 马增寿
罗百岁 孙怡云
章小蕙 钟镇涛
章小蕙 陈曜旻
章小蕙 章小婉
杨小娟 吕良国
圣雄甘地 Gandhi
范旭霞 朱时茂
陈国令 雷鸣球
罗美薇 袁洁莹
罗美薇 李丽珍
罗美薇 张学友
罗美薇 柏安妮
陈浩民 蒋丽莎
司马繇 司马澹
司马繇 司马睿
司马繇 诸葛诞
松赞干布 文成公主
陈鹤峰 周信芳
阮小二 阮小七
阮小二 阮小五
赵玉吉 宋丹丹
王琴侬 陈德霖
王琴侬 王世续
夏雨田 茅贵娴
塔拜 巴都海
塔拜 额克亲
李尚大 吴灿英
李尚大 李川羽
邢夫人 贾琮
邢夫人 贾赦
上海妹 半日安
曾宝仪 周渝民
曾宝仪 曾志伟
曾宝仪 黄子佼
史静 史玉柱
孙鲁班 孙权
孙鲁班 孙和
孙鲁班 孙霸
貂蝉 王允
王雪涛 陈半丁
王雪涛 徐佩蕸
钱永健 钱学森
蒋友柏 林欣荣
蒋友柏 蒋孝勇
蒋友柏 蒋友青
蒋友柏 林姮怡
蒋友柏 蒋友常
蒋友柏 蒋经国
任小蕾 任永华
罗振玉 罗福苌
罗振玉 罗福颐
罗振玉 罗继祖
荣毅仁 杨鉴清
荣毅仁 荣德生
荣毅仁 荣智健
柳真 李智勋
柳真 基泰英
柳真 朴龙河
沈承宽 张天翼
林小群 林超群
林小群 白超雄
中森明菜 中森明穗
中森明菜 近藤真彦
黎志康 黎洪模
黎志康 徐静斐
金圣爱 金平日
陶哲轩 梁蕙兰
陶哲轩 劳拉
陶哲轩 威廉
石评梅 石铭
高圆圆 张亚东
高圆圆 于小伟
小林觉 木谷实
小林觉 孔令文
樊馨蔓 张纪中
龚云甫 杨小楼
虚竹 叶二娘
虚竹 天山童姥
神田英 安藤武夫
韩金凯 濮方
韩金凯 濮存昕
孙策 孙权
孙策 孙尚香
孙策 孙匡
孙策 孙绍
孙策 陆抗
孙策 孙翊
郭龄瑞 郭台铭
王洪礼 唐尧东
王洪礼 王亮
周作人 周吉宜
周作人 钱玄同
周作人 刘半农
周作人 羽太信子
周作人 章太炎
杨少彭 杨乃彭
聂凤智 聂庆荣
王羲之 王献之
王羲之 王导
王义夫 李天波
王义夫 刘国珍
王义夫 张秋萍
王义夫 王辉
王义夫 王威暘
王义夫 王威旸
陶希圣 萨孟武
陶希圣 鞠清远
陶希圣 黄现璠
陶希圣 何炳松
陶希圣 高宗武
陶希圣 全汉升
陈汉文 高德松
多明戈 卡雷拉斯
李渊 李建成
李渊 李元吉
李渊 隋炀帝
李渊 窦皇后
武松 周侗
武松 武大郎
武松 潘金莲
荣海兰 荣宗敬
金汝贞 金正日
司马懿 曹真
司马懿 吴质
司马懿 曹操
司马懿 朱铄
司马懿 司马防
司马懿 曹休
司马懿 司马朗
吴菱仙 王蕙芳
吴菱仙 时小福
吴菱仙 朱幼芬
王光美 刘少奇
王光美 董洁如
于小伟 高圆圆
李禾禾 李肇星
李禾禾 阎维文
周洋 崔顺子
周洋 王淑英
周洋 王濛
周洋 刘鹏飞
周洋 孙琳琳
周洋 李琰
杨颖 黄晓明
曾江 曾慕雪
曾江 林翠
曾江 王馨平
曾江 邓拱璧
曾江 秦剑
曾江 焦姣
籍薇 花五宝
徐碧云 毕谷云
徐碧云 醉丽君
琦琦 任晴佳
琦琦 任达华
李凌枫 锡子刚
李凌枫 张君秋
蔡加敏 马介璋
阎锡山 阎志敏
阎锡山 徐竹青
阎锡山 阎书堂
阎锡山 阎志宽
李长治 李泽楷
李长治 李嘉诚
张舒雅 李亚男
吴湖帆 陈子清
赵家璧 鲁迅
周芷若 丁敏君
陈冠希 赵晨浩
陈冠希 陈俞希
陈冠希 陈见飞
陈冠希 陈泽民
陈冠希 杨永晴
傅锐 付洋
蔡依伦 蔡绿峰
蔡依伦 林靖伦
王维秋 金仲仁
Avril Lavigne
陈丽君 陈青远
王刚 郑艳东
王刚 张铁林
王刚 袁立
王刚 张国立
王刚 王静
徐邦达 滕芳
徐邦达 吴湖帆
杨之华 沈剑龙
杨之华 瞿独伊
杨之华 瞿秋白
张宁 王仪涵
张宁 卢兰
张宁 李永波
方冰 方青媛
方冰 方青卓
田亮 叶一茜
田亮 田欣仪
潘庸秉 潘陶宇
伍绍祖 熊天荆
林挺生 林镇华
林挺生 李夫人
林挺生 林蔚东
林挺生 林传凯
陈珊珊 陈毅
季老 李玉洁
林慧萍 潘博照
林慧萍 张菲
马介璋 马鸿铭
马介璋 蔡加敏
胡松华 胡宝善
胡松华 张曼茹
浅野忠信 Chara
小红 林之孝
桑兰 黄健
李敏 孔令华
李敏 毛泽东
孙玥 何宁宁
孙玥 何国文
孙玥 孙锦华
劳君展 许德珩
富兰克林 本杰明
杨永晴 杨超成
杨永晴 陈冠希
柏安妮 罗美薇
马载尧 马晓天
丁至云 王少卿
丁至云 梅兰芳
丁至云 魏方莲
丁至云 杨宝森
朱文英 阎岚秋
朱文英 朱小喜
朱文英 朱桂芳
许爱周 许士芬
许爱周 许晋亨
景岗山 马葭
景岗山 马克坚
孙壾 孙休
刘诗昆 叶向真
张维 张克澄
张维 张克群
谢晖 徐根宝
谢晖 胡德华
张荣时 张宇时
汪明荃 罗家英
汪明荃 刘昌华
傅秋涛 叶挺
黄家强 黄贯中
谢天顺 谢金
谢天顺 赵伟洲
谢天顺 刘西雨
谢天顺 孔云龙
谢天顺 何云伟
方青卓 沈小萌
方青卓 方青媛
苏少卿 孟小冬
苏少卿 李可染
苏少卿 苏娥
俞珊 俞启威
俞珊 俞明震
唐志中 唐威
蔡依珊 连惠心
蔡依珊 连战
蔡依珊 蔡绿峰
蔡依珊 蔡惠媚
蔡依珊 蒋孝武
张洛君 张克帆
张洛君 王海轮
张洛君 韩志杰
张洛君 汤俊霈
马少良 马玉良
织田信长 织田秀孝
织田信长 织田信秀
关山月 高剑父
童慧荃 李慧娟
尤颖钦 刘乐仪
李瀚章 李鸿章
洪金宝 洪天明
洪金宝 曹恩玉
洪金宝 洪天祥
洪金宝 洪天照
洪金宝 钱似莺
廉月儒 华廉仲
张业琳子 张儒兵
李德裕 牛僧孺
李德裕 唐武宗
李德裕 李宗闵
杭天琪 张泽民
杭天琪 莉萨
刘云樵 李书文
张丰毅 霍凡
张丰毅 吕丽萍
毕淑敏 芦淼
刘濞 刘邦
刘濞 刘仲
谢晋 谢衍
谢晋 徐大雯
谢晋 谢建庆
谢晋 谢佳庆
郭德纲 徐德亮
郭德纲 李菁
郭德纲 范振钰
郭德纲 郭麒麟
郭德纲 陶阳
郭德纲 胡中惠
郭德纲 侯耀文
郭德纲 于谦
郭德纲 金文声
曹仁 曹纯
曹仁 曹泰
曹仁 曹操
曹仁 曹褒
曹仁 曹范
曹仁 曹炽
曹仁 曹楷
张绣 张泉
张学友 张瑶萱
张学友 黎明
张学友 罗美薇
厉慧森 韩凤英
施艳飞 易建联
陈之佛 陈修范
陈之佛 陈家墀
郭京飞 陆毅
郭京飞 鲍莉
闫光明 赵海燕
李双江 李贺
李双江 丁英
李双江 李天一
江欣燕 吴积逊
梁静慈 甄子丹
金敏智 李信成
金敏智 杨诚俊
金敏智 宋钟基
本多忠胜 本多忠高
郎昆 刘岩
郎昆 马艳丽
郑伊健 蒙嘉慧
郑伊健 梁咏琪
郑伊健 陈小春
郑伊健 邵美琪
王晶华 王玉璞
王晶华 王本秀
张子健 梁冠华
张子健 钱雁秋
张子健 张志宽
谢侠逊 谢公出
谢侠逊 谢公佑
钱惠丽 方亚芬
史万岁 史静
林珊珊 狄龙
林珊珊 罗明珠
吕雉 吕泽
吕雉 鲁元公主
吕雉 吕产
吕雉 吕禄
吕雉 吕台
吕雉 刘盈
张申宏 邹启镇
唐韵笙 石秀川
沙僧 唐僧
李民斌 潘金翠
李民斌 李国宝
林芳锦 筱芳锦
朱木炎 杨淑君
叶刘淑仪 刘福成
杨之光 鸥洋
曹节 曹操
曹节 曹华
杨淇 张艾嘉
陈富杰 黄芳
胡小凤 梅兰芳
胡小凤 荀慧生
胡小凤 张君秋
甄士隐 香菱
甄士隐 贾雨村
成龙 于素秋
成龙 房道龙
成龙 吴绮莉
成龙 吴卓林
成龙 邓丽君
成龙 房仕德
成龙 元彪
成龙 房仕胜
成龙 元奎
成龙 陈月荣
成龙 于占元
成龙 元华
成龙 元武
成龙 洪金宝
马泰 张润时
刘恒林 杨小萍
张继先 宋徽宗
杨蕾 戴志诚
杨蕾 魏积安
高盛麟 王喜秀
高盛麟 高庆奎
高盛麟 盖叫天
高盛麟 叶盛章
高盛麟 班世超
高盛麟 杨小楼
高盛麟 茹莱卿
高盛麟 刘砚芳
高盛麟 程砚秋
高盛麟 丁永利
高盛麟 茹富兰
亨利二世 阿基坦的埃莉诺
曾书书 陆雪琪
林彪 叶群
林彪 林立衡
林彪 张浩
薄熙莹 薄熙永
薄熙莹 薄一波
薄熙莹 胡明
谢君豪 苏玉华
韩雨芹 张默
韩雨芹 陈英杰
韩雨芹 张国立
邹韬奋 沈粹缜
陈大愚 陈佩斯
陈大愚 陈强
熊倪 李京曼
成惠琳 李南玉
成惠琳 金正男
成惠琳 成蕙兰
王小波 王方名
王小波 王晨光
王小波 王小平
茅盾 沈雷
茅盾 孔德沚
向华强 向华胜
向华强 陈岚
向华强 丁佩
向华强 向前
霍去病 霍光
霍去病 卫青
张仃 灰娃
赵荣琛 程砚秋
黄任中 小潘潘
黄任中 黄少谷
黄任中 陈宝莲
许嘉凌 许慧欣
陈富涛 陈富瑞
袁子钦 黄永秀
钱似莺 洪金宝
钱似莺 洪济
钱似莺 洪叔云
王子腾 王子胜
王子腾 薛姨妈
王子腾 王夫人
王子腾 王熙凤
郑洁 张宇
郑洁 彭帅
黄君璧 徐悲鸿
黄君璧 黄功华
黄君璧 李瑶屏
黄君璧 黄仰荀
吉增和 孟广美
梧桐妹 贾静雯
殷野王 殷离
钟欣桐 Twins
黄兴 薛君度
黄兴 程潜
黄兴 廖淡如
黄兴 黄伟民
梁文博 伍文忠
刘姥姥 王狗儿
韩雪 王力宏
樊枫 邓少峰
樊枫 张华
袁小田 袁和平
袁小田 袁日初
夏明衡 陈云凤
夏明衡 夏明翰
夏明衡 郑哲生
夏明衡 夏明震
陈泰 陈温
陈泰 陈恂
森高千里 江口洋介
杜甫 杜审言
恩晓峰 姜春桂
佟麟阁 彭静智
王仁甫 季芹
侯宝林 刘宝瑞
侯宝林 侯耀文
舒马赫 科琳娜
翟燕身 周海水
慕容盛 慕容宝
慕容盛 兰妃
慕容盛 兰汗
慕容盛 李旱
王稼祥 朱仲丽
栾菊杰 顾大进
栾菊杰 顾梦佳
栾菊杰 栾菊红
张纪中 樊馨蔓
田慧 梅葆玖
周一良 邓懿
周一良 陈寅恪
陈彤云 哈玉民
吴毅将 唐丽球
沈丰英 张继青
翟波 傅贵山
何智辉 王素筠
米雪 雪梨
陆侃如 冯沅君
齐宝玉 张文涓
周采茨 周信芳
周采茨 周少麟
周采茨 裘丽琳
周采茨 黄浩义
朱天喜 朱星
姜文 桑德琳
姜文 刘晓庆
姜文 周韵
姜文 姜武
桓温 桓玄
桓温 桓彝
郭跃 刘诗雯
郭跃 郭向生
郭跃 牛剑锋
郭跃 张怡宁
潘楚颖 潘迪生
潘楚颖 杨敏德
汤淼 周苏红
汤淼 沈琼
路遥 路茗茗
路遥 林达
王吟秋 程砚秋
孔亮 孔太公
深田恭子 五十岚麻朝
林美贞 孙恒
林美贞 孙兴
董凤年 孙老元
曾国荃 曾国藩
陈万水 宋楚瑜
杨洁篪 乐爱妹
郑经 郑克塽
郑经 郑成功
郑经 郑克臧
黄宗江 黄宗洛
黄宗江 黄宗英
黄宗江 阮若珊
黄宗江 朱嘉琛
刘志祥 刘志军
孟小冬 杜月笙
周正毅 毛玉萍
周正毅 杨恭如
陈祖德 陈济成
袁术 袁绍
丁敏君 周芷若
丁敏君 灭绝师太
秦德君 刘伯坚
马丽娟 赵本山
邓广铭 邓小南
朱仲丽 王稼祥
朱仲丽 朱剑凡
窦颖 窦唯
林子聪 周星驰
张黎 刘蓓
王晓临 孟俊泉
王晓临 李多奎
王晓临 孙甫亭
王晓临 李金泉
周信芳 周英华
周信芳 周慰堂
周信芳 周少麟
周信芳 裘丽琳
胡美仪 毛俊辉
谭晓令 李金泉
刘伯坚 秦德君
